episode,score,avg_score,agent_hidden_sizes
0,25.0,25.0,16|16
1,13.0,19.0,16|16
2,14.0,17.333333333333332,16|16
3,14.0,16.5,16|16
4,31.0,19.4,16|16
5,10.0,17.833333333333332,16|16
6,20.0,18.142857142857142,16|16
7,16.0,17.875,16|16
8,15.0,17.555555555555557,16|16
9,22.0,18.0,16|16
10,9.0,17.181818181818183,16|16
11,17.0,17.166666666666668,16|16
12,10.0,16.615384615384617,16|16
13,26.0,17.285714285714285,16|16
14,26.0,17.866666666666667,16|16
15,33.0,18.8125,16|16
16,22.0,19.0,16|16
17,26.0,19.38888888888889,16|16
18,23.0,19.57894736842105,16|16
19,22.0,19.7,16|16
20,21.0,19.761904761904763,16|16
21,15.0,19.545454545454547,16|16
22,9.0,19.08695652173913,16|16
23,32.0,19.625,16|16
24,20.0,19.64,16|16
25,22.0,19.73076923076923,16|16
26,18.0,19.666666666666668,16|16
27,15.0,19.5,16|16
28,15.0,19.344827586206897,16|16
29,17.0,19.266666666666666,16|16
30,11.0,19.0,16|16
31,27.0,19.25,16|16
32,44.0,20.0,16|16
33,26.0,20.176470588235293,16|16
34,13.0,19.97142857142857,16|16
35,13.0,19.77777777777778,16|16
36,14.0,19.62162162162162,16|16
37,18.0,19.57894736842105,16|16
38,21.0,19.615384615384617,16|16
39,36.0,20.025,16|16
40,20.0,20.024390243902438,16|16
41,36.0,20.404761904761905,16|16
42,13.0,20.232558139534884,16|16
43,13.0,20.068181818181817,16|16
44,28.0,20.244444444444444,16|16
45,17.0,20.17391304347826,16|16
46,38.0,20.5531914893617,16|16
47,34.0,20.833333333333332,16|16
48,26.0,20.93877551020408,16|16
49,34.0,21.2,16|16
50,25.0,21.2,16|16
51,47.0,21.88,16|16
52,14.0,21.88,16|16
53,32.0,22.24,16|16
54,10.0,21.82,16|16
55,17.0,21.96,16|16
56,8.0,21.72,16|16
57,12.0,21.64,16|16
58,18.0,21.7,16|16
59,19.0,21.64,16|16
60,16.0,21.78,16|16
61,52.0,22.48,16|16
62,35.0,22.98,16|16
63,39.0,23.24,16|16
64,17.0,23.06,16|16
65,23.0,22.86,16|16
66,12.0,22.66,16|16
67,13.0,22.4,16|16
68,14.0,22.22,16|16
69,17.0,22.12,16|16
70,11.0,21.92,16|16
71,45.0,22.52,16|16
72,13.0,22.6,16|16
73,17.0,22.3,16|16
74,21.0,22.32,16|16
75,64.0,23.16,16|16
76,12.0,23.04,16|16
77,18.0,23.1,16|16
78,31.0,23.42,16|16
79,32.0,23.72,16|16
80,23.0,23.96,16|16
81,17.0,23.76,16|16
82,15.0,23.18,16|16
