episode,score,avg_score,hidden_size,entropy_production
0,15.0,15.0,4,0.5630583318243021
1,16.0,15.5,4,5.063121847298749
2,21.0,17.333333333333332,4,0.7122395432972641
3,14.0,16.5,4,3.438242362183267
4,10.0,15.2,4,2.7768772927183054
5,21.0,16.166666666666668,4,3.203005081830864
6,16.0,16.142857142857142,4,0.8251346653755236
7,23.0,17.0,4,0.7096707523014932
8,18.0,17.11111111111111,4,1.7719812269422202
9,13.0,16.7,4,2.5694713677170253
10,15.0,16.545454545454547,4,4.414124519563433
11,25.0,17.25,4,1.82621377335064
12,30.0,18.23076923076923,4,3.7464529861876077
13,9.0,17.571428571428573,4,2.080599906795343
14,17.0,17.533333333333335,4,3.8344611087833504
15,14.0,17.3125,4,3.949742236529842
16,13.0,17.058823529411764,4,5.506613474677718
17,11.0,16.72222222222222,4,1.5789102172336826
18,16.0,16.68421052631579,4,3.367653020614423
19,12.0,16.45,4,3.9170318093236887
20,15.0,16.38095238095238,4,2.5999989551066585
21,16.0,16.363636363636363,4,1.1303059550579926
22,18.0,18.0,4,4.989498186722432
23,23.0,23.0,4,0.9554438788229567
24,15.0,15.0,4,1.7760733358805303
25,34.0,34.0,4,6.783194358510843
26,24.0,24.0,4,2.51602516313794
27,54.0,54.0,4,5.358432436499377
28,38.0,38.0,4,4.016556294977303
29,55.0,55.0,4,3.914993309079392
30,18.0,18.0,4,4.118813821208942
31,39.0,39.0,4,5.014580471201026
32,21.0,21.0,4,1.0453176728752578
33,37.0,37.0,4,9.488837314733454
34,23.0,23.0,4,2.3254280261946483
35,23.0,23.0,4,1.420798575109309
36,35.0,35.0,4,4.644719492353155
37,33.0,33.0,4,11.064540191900493
38,27.0,27.0,4,1.8143574411426135
39,12.0,12.0,4,3.0107766640361135
40,18.0,18.0,4,3.205871755639129
41,49.0,49.0,4,8.60698675136303
42,12.0,12.0,4,2.9247540391634628
43,42.0,42.0,4,9.312564291576455
44,22.0,22.0,4,0.4981438216635412
45,25.0,25.0,4,11.631156945011165
46,46.0,46.0,4,7.014615737135812
47,86.0,86.0,4,20.03654428670182
48,33.0,33.0,4,6.753598206823282
49,33.0,33.0,4,5.268666543070071
50,36.0,36.0,4,8.719217367533014
51,50.0,50.0,4,6.187113157113968
52,37.0,37.0,4,11.02653891814061
53,40.0,40.0,5,9.347705733566032
54,25.0,25.0,9,8.638289332772866
55,44.0,44.0,15,7.333092948289457
56,21.0,21.0,23,4.446359346914811
57,21.0,21.0,33,2.1091397887745535
58,53.0,53.0,45,17.840731671230113
59,29.0,29.0,58,3.834026323512384
60,38.0,38.0,64,9.787553805883178
61,19.0,19.0,64,1.5329708954727441
62,52.0,52.0,64,5.8756487532245
63,30.0,30.0,64,5.137493878912172
64,29.0,29.0,64,17.687869229609138
65,25.0,25.0,64,4.269110027397879
66,19.0,19.0,64,8.034606005584665
67,22.0,22.0,64,4.31174866311883
68,39.0,39.0,64,12.009507248165034
69,107.0,107.0,64,11.655409697621733
70,55.0,81.0,64,18.52669757811199
71,82.0,81.33333333333333,64,26.66474444719487
72,43.0,71.75,64,3.5314316524456655
73,81.0,73.6,64,14.23194193454672
74,50.0,69.66666666666667,64,4.588682405514749
75,44.0,66.0,64,8.900492276144545
76,55.0,64.625,64,27.27696347292155
77,42.0,62.111111111111114,64,3.409769105306248
78,29.0,58.8,64,4.431222634038488
79,32.0,56.36363636363637,64,11.95317652786167
80,113.0,61.083333333333336,64,10.83829593461899
81,49.0,60.15384615384615,64,3.8873440903834178
82,76.0,61.285714285714285,64,21.191528995690987
83,38.0,59.733333333333334,64,5.523443877489698
84,37.0,58.3125,64,13.017864340228762
85,58.0,58.294117647058826,64,19.12924296907859
86,63.0,58.55555555555556,64,18.304520996926122
87,116.0,61.578947368421055,64,6.470057239290511
88,106.0,63.8,64,6.414050048755494
89,153.0,68.04761904761905,64,54.23571949939805
90,226.0,75.22727272727273,64,19.946870092513596
91,372.0,88.1304347826087,64,56.86755935711354
92,314.0,97.54166666666667,64,18.883297500700927
93,228.0,102.76,64,15.440332586392733
94,132.0,103.88461538461539,64,24.410736447613
95,429.0,115.92592592592592,64,66.46988518038216
96,71.0,114.32142857142857,64,44.276221254760735
97,109.0,114.13793103448276,64,26.89458449644116
98,205.0,117.16666666666667,64,26.209566804538472
99,38.0,114.61290322580645,64,30.973923245223173
100,55.0,112.75,64,17.935623541808834
101,120.0,112.96969696969697,64,57.39541344442619
102,40.0,110.82352941176471,64,22.282549780622166
103,118.0,111.02857142857142,64,52.66947108587798
104,137.0,111.75,64,11.80627344143854
105,132.0,112.29729729729729,64,56.376137388898236
106,164.0,113.65789473684211,64,29.103208151605774
107,139.0,114.3076923076923,64,64.60268294235499
108,152.0,115.25,64,18.19337217648482
109,141.0,115.8780487804878,64,17.718939341467436
110,67.0,114.71428571428571,64,37.14962392995889
111,162.0,115.81395348837209,64,33.898318177669154
112,169.0,117.02272727272727,64,12.963478544306765
113,162.0,118.02222222222223,64,44.22888670438234
114,160.0,118.93478260869566,64,52.25542838150371
115,247.0,121.65957446808511,64,34.01908445560119
116,214.0,123.58333333333333,64,53.65435330045114
117,239.0,125.93877551020408,64,77.45885905012561
118,213.0,127.68,64,27.140671438722492
119,124.0,128.02,64,23.719748878313297
120,197.0,130.86,64,17.782667881476485
121,131.0,131.84,64,14.93588443612413
122,263.0,136.24,64,29.857246776272532
123,198.0,138.58,64,13.422083406365504
124,148.0,140.54,64,8.523314100482615
125,168.0,143.02,64,28.881961220203063
126,217.0,146.26,64,31.778129686944897
127,147.0,148.36,64,17.328277410820313
128,127.0,150.32,64,27.25618013478798
129,153.0,152.74,64,19.358056677442598
130,307.0,156.62,64,17.046896806965712
131,189.0,159.42,64,25.86447897460588
132,218.0,162.26,64,31.80890997587598
133,194.0,165.38,64,32.6963638231654
134,231.0,169.26,64,27.481104824043157
135,457.0,177.24,64,87.90688685709588
136,215.0,180.28,64,25.59822960467938
137,210.0,182.16,64,30.123617736921318
138,330.0,186.64,64,42.702154745862536
139,173.0,187.04,64,46.57314396703133
140,294.0,188.4,64,59.72267942895745
141,264.0,186.24,64,85.94552715308744
142,262.0,185.2,64,19.357720753936665
143,435.0,189.34,64,65.56962822750208
144,197.0,190.64,64,36.621445298022586
145,191.0,185.88,64,38.128016883197084
146,178.0,188.02,64,51.18092874542092
147,179.0,189.42,64,41.64695483827247
148,182.0,188.96,64,11.264035712375664
149,152.0,191.24,64,65.78425981035323
150,169.0,193.52,64,44.616199393122585
151,155.0,194.22,64,37.85597898652894
152,223.0,197.88,64,16.65714160281817
