episode,score,avg_score,hidden_size,entropy_production
0,-45.77456356748114,-45.77456356748114,32,10.247706503456465
1,-73.92210743697117,-59.848335502226156,32,13.585238658577156
2,-339.6901108025625,-153.12892726900495,32,18.98620208888576
3,-260.8858728800724,-180.0681636717718,32,17.781075692275447
4,-382.47969111803144,-220.55046916102373,32,12.91745842674621
5,-88.58435473061805,-198.55611675595614,32,12.623861632811854
6,-357.8519503976823,-221.31266441905987,32,13.321758247021231
7,-490.32520694984163,-254.9392322354076,32,13.096308601715732
8,-61.030159398499755,-233.39377969797337,32,11.036678403825773
9,-443.78825905354813,-254.43322763353086,32,26.272610331643772
10,-377.2322351222991,-265.59677376887345,32,17.396084694261166
11,-213.611655443159,-261.2646805750639,32,7.027284584475369
12,-453.9550517013222,-276.0870168155453,32,30.712729921307854
13,-291.54679489286957,-277.1912866782113,32,17.332879600464953
14,-478.22314486518127,-290.5934105573426,32,16.494167975408317
15,5.813689705241188,-272.06796679093117,32,14.8198772951431
16,-305.17247823469256,-274.0152909935054,32,23.619373985825344
17,-267.75390839842055,-273.66743640488954,32,20.168112381056968
18,-104.09574919675705,-264.74261076235626,32,16.054561538135225
19,-147.65676880765866,-258.88831866462135,32,27.82366031095605
20,-145.93739977478702,-253.50970347939116,32,25.831622854908748
21,-86.81341026119557,-245.93259924220047,32,14.667415710782372
22,-361.79750886984283,-250.9702040086197,32,24.23993531130083
23,-232.3168037698949,-250.19297899867283,32,15.653746259327704
24,-102.39780904484732,-244.2811722005198,32,14.867994894033536
25,-231.89955771164955,-243.80495625864017,32,16.05446607670679
26,-107.01556910108437,-238.73868266021216,32,13.740024268905572
27,-336.51863879472796,-242.23082395073058,32,38.69595544595671
28,-332.19494626535425,-245.33303506502796,32,30.890682598179275
29,-298.9161161160715,-247.11913776672944,32,42.449190836967674
30,-250.91900802174692,-247.2417142265687,32,20.261742602086983
31,-65.7104647409528,-241.56886268014318,32,14.80614937327571
32,-226.73521586153743,-241.11935823109454,32,28.60581652918471
33,-307.7745873904123,-243.079806147545,32,14.815110863620038
34,-296.71634194103933,-244.61227859878773,32,14.885036629228065
35,-248.06329272267837,-244.7081401022291,32,12.485553194561279
36,-222.42398491118075,-244.10586563760617,32,15.441468142455014
37,-372.8374299007943,-247.49353838137426,32,34.844556895394305
38,-326.97505731847195,-249.53152604642804,32,33.09294838867347
39,-45.29434714591636,-244.42559657391536,32,10.878860389535294
40,-231.39771484900686,-244.10784336111269,32,36.49820546848325
41,-145.8263075894015,-241.76780679511955,32,20.791614703447646
42,-95.2559967384709,-238.36055539845333,32,18.776329086603717
43,-114.93962139554405,-235.5555341711145,32,9.739860397187186
44,-203.67643566712567,-234.84710975991476,32,22.08058862159534
45,-253.90761916180261,-235.2614686599558,32,34.37807798206042
46,-113.8005233709176,-232.67719322827412,32,18.37054365506348
47,-81.29085268784794,-229.5233111336819,32,9.373589125731614
48,-289.1308777527231,-230.7397920850909,32,28.018343599343826
49,-278.3321327897984,-231.69163889918505,32,27.278062587729128
50,-55.50252286533302,-231.886198085142,32,5.592557965064971
51,-90.85607498318015,-232.2248774360662,32,9.169541671966986
52,-302.704148670349,-231.485158193422,32,11.3866751714393
53,-181.78809578221865,-229.90320265146494,32,36.30530424388791
54,13.44927283885896,-221.98462337232704,32,24.312326266303863
55,-150.06710764346275,-223.214278430584,32,15.119685516813265
56,-91.07021009614328,-217.87864362455323,32,13.970976400278369
57,-192.2213050010655,-211.91656558557767,32,13.029145848391456
58,-73.66342607490037,-212.16923091910564,32,12.13292286373902
59,-196.95165998171063,-207.23249893766894,32,19.921527972055717
60,-71.88709920165175,-201.125596219256,32,21.976543024758126
61,-83.75051840509703,-198.52837347849473,32,12.91868501260397
62,-63.67009524268013,-190.7226743493219,32,12.518895108707133
63,-284.8763032638365,-190.58926451674125,32,20.100196358803043
64,-95.07941497338557,-182.9263899189053,32,17.49470942082583
65,-44.60536151854926,-183.93477094338115,32,15.702910738133937
66,-88.06325480976915,-179.5925864748827,32,17.672822876429326
67,-406.51324292432065,-182.36777316540068,32,24.44713652368618
68,-208.86433807016914,-184.4631449428689,32,24.335910921728036
69,-38.25529913571006,-182.27511554942993,32,8.511691477982628
70,-508.5600809840058,-189.52756917361432,32,30.614162869863154
71,-255.2572962685787,-192.89644689376198,32,22.438270778895575
72,-190.3063599840762,-189.4666239160467,32,21.804360820990976
73,-452.5546483470416,-193.8713808075896,32,26.159416821316793
74,-72.49274968640589,-193.27327962042077,32,17.77638565422861
75,-348.8704982845792,-195.61269843187935,32,26.33725818831362
76,-22.317081015107846,-193.91872867015982,32,18.971135780496972
77,-100.16083061468751,-189.19157250655906,32,21.12831134479471
78,-229.91709084288195,-187.1460153981096,32,14.435288227401221
79,-79.02023380609853,-182.74809775191014,32,17.67798495690356
80,-156.34466719046412,-180.8566109352845,32,29.252665625461027
81,-67.9009426198477,-180.90042049286237,32,12.376743896379878
82,-62.66360546918319,-177.6189882850153,32,16.26160951086416
83,-92.43376557679326,-173.31217184874288,32,16.91894428131506
84,-232.65326427244372,-172.030910295371,32,8.395691223415762
85,-103.65920151634863,-169.14282847124434,32,17.662528117003244
86,-194.2031248700938,-168.57841127042263,32,24.02743236843347
87,-208.84001905592677,-165.2984630535253,32,18.766035117853136
88,-205.80064243701943,-162.87497475589626,32,29.02706641322112
89,-59.41550510444956,-163.15739791506692,32,13.177479591890895
90,-150.82153566035396,-161.54587433129387,32,17.58592629611711
91,-133.24593721929378,-161.2942669238917,32,16.8368315274267
92,-85.93355338561969,-161.10781805683465,32,16.896651555931843
93,-101.60406328632116,-160.84110689465024,32,12.553173844218461
94,-93.86524550045046,-158.64488309131673,32,13.710642576546414
95,-131.72058764192377,-156.20114246091916,32,17.436413664413813
96,14.24423614312174,-153.64024727063835,32,9.925689247798315
97,-135.69453197579116,-154.7283208563972,32,17.200501096917318
98,-77.26546380521597,-150.4910125774471,32,6.1384496561183965
99,-57.12921244411906,-146.06695417053348,32,19.5100775404872
100,-67.54794471039828,-146.30786260743477,32,11.206724236155697
