episode,score,avg_score,hidden_size,entropy_production
0,36.0,36.0,4,5.50290033916808
1,10.0,23.0,4,1.6532315554068335
2,10.0,18.666666666666668,4,1.6439805395417
3,12.0,17.0,4,8.018200400619666
4,10.0,15.6,4,1.4563906187998057
5,23.0,16.833333333333332,4,7.052648730605905
6,18.0,17.0,4,5.632584338027015
7,9.0,16.0,4,1.168481080231246
8,14.0,15.777777777777779,4,3.3869011998131886
9,11.0,15.3,4,1.8185659109492929
10,13.0,15.090909090909092,4,1.2895240914756927
11,11.0,14.75,4,2.0248288142784823
12,10.0,14.384615384615385,4,3.903091504636926
13,10.0,14.071428571428571,4,7.2643655353191825
14,10.0,13.8,4,1.4637123087968074
15,10.0,13.5625,4,1.681377975127497
16,48.0,15.588235294117647,4,11.714142707707046
17,13.0,15.444444444444445,4,3.1751828466519583
18,10.0,15.157894736842104,4,1.9893051897398366
19,10.0,14.9,4,1.2566940642093791
20,11.0,14.714285714285714,4,10.4115709180097
21,12.0,14.590909090909092,4,0.6177993226076689
22,10.0,14.391304347826088,4,1.497196017239448
23,9.0,14.166666666666666,4,1.3040675452157526
24,12.0,14.08,4,1.6270566475741182
25,21.0,14.346153846153847,4,2.8141444251142045
26,12.0,14.25925925925926,4,1.5968380834641933
27,12.0,14.178571428571429,4,1.5105210406505747
28,21.0,14.413793103448276,4,4.570792740302439
29,9.0,14.233333333333333,4,1.8877483375916424
30,8.0,14.03225806451613,4,1.1294023993723588
31,18.0,14.15625,4,4.948780051679322
32,11.0,14.06060606060606,4,2.5782164224037296
33,11.0,13.970588235294118,4,1.4430530870056684
34,10.0,13.857142857142858,4,1.5767950350843145
35,14.0,13.86111111111111,4,3.1576470187751737
36,18.0,13.972972972972974,4,3.644138586868067
37,12.0,13.921052631578947,4,1.4555096429649266
38,9.0,13.794871794871796,4,1.3221269747497602
39,9.0,13.675,4,1.342980130588373
40,14.0,13.682926829268293,4,4.454503364916262
41,28.0,14.023809523809524,4,9.172413071160172
42,14.0,14.023255813953488,4,3.09169413400811
43,9.0,13.909090909090908,4,1.786628148518141
44,12.0,13.866666666666667,4,1.0612277716504015
45,24.0,14.08695652173913,4,5.80810080947666
46,13.0,14.063829787234043,4,6.6636095395496735
47,26.0,14.3125,4,3.6559246499064133
48,12.0,14.26530612244898,4,1.9236236492791203
49,18.0,14.34,4,4.5625973132588795
50,10.0,13.82,4,1.6229007945155975
51,15.0,13.92,4,2.0125952052738842
52,11.0,13.94,4,1.5704719648283583
53,16.0,14.02,4,0.785445811828834
54,32.0,14.46,4,7.786962904648875
55,10.0,14.2,4,1.605765682538407
56,20.0,14.24,4,6.372301234729221
57,11.0,14.28,4,1.734753225182261
58,8.0,14.16,4,1.3080414961759692
59,21.0,14.36,4,2.1437250493574997
60,14.0,14.38,4,3.3929044173573497
61,18.0,14.52,4,0.8664916344709434
62,40.0,15.12,4,5.423466912794746
63,22.0,15.36,4,2.1755217372375637
64,24.0,15.64,4,6.63763447817929
65,11.0,15.66,4,2.280421430517512
66,30.0,15.3,4,3.4415449673065788
67,10.0,15.24,4,1.7153641880501724
68,28.0,15.6,4,8.060775579481398
69,11.0,15.62,4,2.6771654641168112
70,25.0,15.9,4,2.794628920313102
71,12.0,15.9,4,2.783162489324571
72,23.0,16.16,4,2.673565815416867
73,18.0,16.34,4,4.410206863654228
74,9.0,16.28,4,1.8480956792147298
